"id","key","value"
1,amenity,animal_breeding
2,amenity,animal_shelter
3,amenity,animal_training
4,amenity,baby_hatch
5,amenity,baking_oven
6,amenity,bench
7,amenity,bureau_de_change
8,amenity,clock
9,amenity,dog_toilet
10,amenity,dressing_room
11,amenity,drinking_water
12,amenity,give_box
13,amenity,hunting_stand
14,amenity,kitchen
15,amenity,kneipp_water_cure
16,amenity,lounger
17,amenity,mailroom
18,amenity,photo_booth
19,amenity,place_of_mourning
20,amenity,public_building
21,amenity,refugee_site
22,amenity,recycling
23,amenity,sanitary_dump_station
24,amenity,shelter
25,amenity,shower
27,amenity,vending_machine
28,amenity,waste_basket
29,amenity,wast_disposal
30,amenity,waste_transfer_station
31,amenity,water_point
32,amenity,watering_place
33,building,apartments
34,building,bakehouse
35,building,barn
36,building,barracks
37,building,beach_hut
38,building,bridge
39,building,bungalow
40,building,bunker
41,building,cabin
42,building,carport
43,building,castle
44,building,civic
45,building,conservatory
46,building,construction
47,building,container
48,building,cowshed
49,building,detached
50,building,digester
51,building,dormitory
52,building,farm
53,building,farm_auxiliary
54,building,garage
55,building,garages
56,building,gatehouse
57,building,greenhouse
58,building,hangar
59,building,house
60,building,houseboat
61,building,hut
62,building,industrial
63,building,livestock
64,building,military
65,building,parking
66,building,public
67,building,residential
68,building,roof
69,building,ruins
70,building,semidetached_house
71,building,service
72,building,shed
73,building,silo
74,building,slurry_tank
75,building,stable
76,building,static_caravan
77,building,stilt_house
78,building,storage_tank
79,building,sty
80,building,tent
81,building,terasse
82,building,tower
83,building,train_station
84,building,tansformer_tower
85,building,transport
86,building,tree_house
87,building,water_tower
88,amenity,bar
89,amenity,biergarten
90,amenity,cafe
91,amenity,fast_food
92,amenity,food_court
93,amenity,ice_cream
94,amenity,pub
95,amenity,restaurant
96,amenity,college
97,amenity,dancing_school
98,amenity,driving_school
99,amenity,first_aid_school
100,amenity,kindergarten
101,amenity,language_school
102,amenity,library
103,amenity,surf_school
104,amenity,toy_library
105,amenity,research_institute
106,amenity,training
107,amenity,music_school
108,amenity,school
109,amenity,traffic_park
110,amenity,university
111,amenity,vehicle_inspection
112,amenity,fuel
113,amenity,atm
114,amenity,bank
115,amenity,clinic
116,amenity,dentist
117,amenity,doctors
118,amenity,hospital
119,amenity,nursing_home
120,amenity,pharmacy
121,amenity,veterinary
122,amenity,arts_centre
123,amenity,brothel
124,amenity,casino
125,amenity,cinema
126,amenity,community_centre
127,amenity,conference_centre
128,amenity,events_venue
129,amenity,exhibition_centre
130,amenity,fountain
131,amenity,gambling
132,amenity,love_hotel
133,amenity,music_venue
134,amenity,night_club
135,amenity,planetarium
136,amenity,public_bookcase
137,amenity,social_centre
138,amenity,stage
139,amenity,stripclub
140,amenity,studio
141,amenity,swingerclub
142,amenity,theatre
143,amenity,courthouse
144,amenity,fire_station
145,amenity,police
146,amenity,post_box
147,amenity,post_depot
148,amenity,post_office
149,amenity,prison
150,amenity,ranger_station
151,amenity,townhall
152,amenity,bbq
153,amenity,parcel_locker
154,amenity,toilets
155,amenity,animal_boarding
156,amenity,crematorium
157,amenity,dive_centre
158,amenity,funeral_hall
159,amenity,grave_yard
160,amenity,internet_cafe
161,amenity,monastery
162,amenity,place_of_worship
163,amenity,public_bath
164,building,hotel
165,building,commercial
166,building,kiosk
167,building,office
168,building,retail
169,building,supermarket
170,building,warehouse
171,building,religious
172,building,cathedral
173,building,chapel
174,building,church
175,building,monastery
176,building,mosque
177,building,synagogue
178,building,temple
179,building,college
180,building,fire_station
181,building,government
182,building,hospital
183,building,kindergarten
282,shop,general
184,building,museum
185,building,school
186,building,toilet
187,building,university
188,building,grandstand
189,building,pavilion
190,building,riding_hall
191,building,sports_hall
192,building,sports_centre
193,building,stadium
