"ID","strasse","hn","key","value","MiD"
A1,Friedrichstraße,"1",leisure,fitness_centre,704
A1,Friedrichstraße,"1",shop,florist,502
A1,Friedrichstraße,"1",shop,bathroom_furnishing,502
A1,Friedrichstraße,"1",amenity,bar,706
A1,Friedrichstraße,"1",healthcare,physiotherapist,601
A1,Friedrichstraße,"1",shop,hearing_aids,504
A1,Friedrichstraße,"1",shop,hearing_aids,504
A1,Friedrichstraße,"1",shop,hairdresser,504
A1,Friedrichstraße,"1",leisure,fitness_centre,704
A1,Friedrichstraße,"1",shop,clothes,502
A1,Friedrichstraße,"1",shop,hairdresser,504
A1,Friedrichstraße,"1",healthcare,psychotherapist,601
A1,Friedrichstraße,"1",healthcare:speciality,orthopaedics,601
A1,Friedrichstraße,"1",sport,fitness,704
A1,Friedrichstraße,"1",sport,fitness,704
A13,Friedrichstraße,"13",shop,supermarket,501
A13,Friedrichstraße,"13",shop,pharmacy,601
A13,Friedrichstraße,"13",shop,travel_agency,504
A13,Friedrichstraße,"13",amenity,restaurant,706
A13,Friedrichstraße,"13",shop,travel_agency,504
A13,Friedrichstraße,"13",shop,stationery,502
A13,Friedrichstraße,"13",shop,mobile_phone,502
A13,Friedrichstraße,"13",shop,mobile_phone,504
A13,Friedrichstraße,"13",shop,mobile_phone,504
A13,Friedrichstraße,"13",shop,optician,504
A13,Friedrichstraße,"13",shop,optician,504
A13,Friedrichstraße,"13",shop,hairdresser,504
A13,Friedrichstraße,"13",shop,hairdresser,504
A13,Friedrichstraße,"13",shop,beauty,504
A13,Friedrichstraße,"13",amenity,bank,602
A13,Friedrichstraße,"13",shop,beauty,504
A13,Friedrichstraße,"13",shop,variety_store,502
A13,Friedrichstraße,"13",shop,shoes,502
A13,Friedrichstraße,"13",shop,clothes,502
A13,Friedrichstraße,"13",amenity,post_office,602
A13,Friedrichstraße,"13",shop,kiosk,502
A13,Friedrichstraße,"13",shop,bakery,501
A19,Friedrichstraße,"19",amenity,public_bookcase,604
A22,Friedrichstraße,"22",shop,clothes,502
A22,Friedrichstraße,"22",office,insurance,504
A22,Friedrichstraße,"22",shop,hairdresser,504
A22,Friedrichstraße,"22",amenity,cafe,706
A22,Friedrichstraße,"22",amenity,restaurant,706
A22,Friedrichstraße,"22",leisure,tanning_salon,720
A22,Friedrichstraße,"22",office,insurance,504
A22,Friedrichstraße,"22",shop,hairdresser,504
A25,Friedrichstraße,"25",building,church,713
A25,Friedrichstraße,"25",amenity,school,300
A25,Friedrichstraße,"25",building,church,713
A25,Friedrichstraße,"25",amenity,marketplace,502
A3,Friedrichstraße,"3",office,lawyer,504
A3,Friedrichstraße,"3",healthcare,physiotherapist,601
A3,Friedrichstraße,"3",leisure,marina,720
A3,Friedrichstraße,"3",office,lawyer,504
A52b,Friedrichstraße,"52b",amenity,social_facility,714
A52b,Friedrichstraße,"52b",amenity,social_facility,714
A53,Friedrichstraße,"53",shop,funeral_directors,502
A53,Friedrichstraße,"53",healthcare,psychotherapist,601
A53,Friedrichstraße,"53",healthcare,psychotherapist,601
A53,Friedrichstraße,"53",shop,hairdresser,504
A53,Friedrichstraße,"53",shop,hairdresser,504
A53a,Friedrichstraße,"53a",amenity,training,705
A53a,Friedrichstraße,"53a",healthcare,psychotherapist,601
A53a,Friedrichstraße,"53a",amenity,music_school,705
A53a,Friedrichstraße,"53a",amenity,training,705
A53a,Friedrichstraße,"53a",shop,massage,504
A53a,Friedrichstraße,"53a",amenity,veterinary,504
A53a,Friedrichstraße,"53a",amenity,music_school,705
A53a,Friedrichstraße,"53a",amenity,veterinary,504
A53a,Friedrichstraße,"53a",office,tax_advisor,504
A53a,Friedrichstraße,"53a",office,tax_advisor,504
A53a,Friedrichstraße,"53a",shop,massage,504
A53b,Friedrichstraße,"53b",amenity,post_box,602
A53b,Friedrichstraße,"53b",office,estate_agent,504
A53b,Friedrichstraße,"53b",office,estate_agent,504
A54,Friedrichstraße,"54",shop,hairdresser,504
A54,Friedrichstraße,"54",shop,bathroom_furnishing,502
A54,Friedrichstraße,"54",shop,craft,502
A54,Friedrichstraße,"54",shop,hairdresser,504
A54,Friedrichstraße,"54",shop,mobile_phone,502
A54,Friedrichstraße,"54",shop,mobile_phone,504
A54,Friedrichstraße,"54",shop,mobile_phone,504
A55,Friedrichstraße,"55",shop,beauty,504
A55,Friedrichstraße,"55",shop,stationery,502
A55,Friedrichstraße,"55",shop,beauty,504
A56,Friedrichstraße,"56",shop,books,502
A58,Friedrichstraße,"58",healthcare,dentist,601
A58,Friedrichstraße,"58",amenity,cinema,702
A58,Friedrichstraße,"58",shop,pharmacy,601
A58,Friedrichstraße,"58",shop,chemist,502
A58,Friedrichstraße,"58",healthcare:speciality,general,601
A6,Friedrichstraße,"6",office,government,602
A65,Friedrichstraße,"65",shop,locksmith,504
A65,Friedrichstraße,"65",amenity,social_facility,714
A65,Friedrichstraße,"65",shop,bakery,501
A65,Friedrichstraße,"65",shop,jewelry,502
A65,Friedrichstraße,"65",shop,shoes,502
A65,Friedrichstraße,"65",amenity,social_facility,714
A65,Friedrichstraße,"65",shop,travel_agency,504
A65,Friedrichstraße,"65",shop,hairdresser,504
A65,Friedrichstraße,"65",shop,hairdresser,504
A65,Friedrichstraße,"65",shop,travel_agency,504
A65,Friedrichstraße,"65",shop,laundry,504
A65,Friedrichstraße,"65",shop,optician,504
A65,Friedrichstraße,"65",shop,laundry,504
A65,Friedrichstraße,"65",shop,optician,504
A65,Friedrichstraße,"65",shop,locksmith,504
A65,Friedrichstraße,"65",shop,bicycle,502
A67,Friedrichstraße,"67",tourism,museum,702
A69,Friedrichstraße,"69",shop,beauty,504
A69,Friedrichstraße,"69",shop,beauty,504
A71,Friedrichstraße,"71",shop,hairdresser,504
A71,Friedrichstraße,"71",shop,hairdresser,504
A73,Friedrichstraße,"73",healthcare:speciality,general,601
A73,Friedrichstraße,"73",shop,jewelry,502
A75,Friedrichstraße,"75",shop,clothes,502
A75,Friedrichstraße,"75",shop,furniture,502
A9,Friedrichstraße,"9",amenity,fast_food,706
A9a,Friedrichstraße,"9a",shop,hairdresser,504
A9a,Friedrichstraße,"9a",shop,hairdresser,504
A9d,Friedrichstraße,"9d",amenity,bar,706
B1,Beuststraße,"1",amenity,social_centre,720
B23,Beuststraße,"23",amenity,bank,602
C10,Rudolf-Breitscheid-Straße,"10",amenity,music_school,705
C10,Rudolf-Breitscheid-Straße,"10",amenity,restaurant,706
C10,Rudolf-Breitscheid-Straße,"10",amenity,music_school,705
C10,Rudolf-Breitscheid-Straße,"10",amenity,training,705
C10,Rudolf-Breitscheid-Straße,"10",amenity,driving_school,704
C10,Rudolf-Breitscheid-Straße,"10",amenity,driving_school,704
C10,Rudolf-Breitscheid-Straße,"10",amenity,training,705
C10,Rudolf-Breitscheid-Straße,"10",amenity,dancing_school,704
C10,Rudolf-Breitscheid-Straße,"10",amenity,dancing_school,704
C19,Rudolf-Breitscheid-Straße,"19",shop,watches,502
C48,Rudolf-Breitscheid-Straße,"48",shop,beauty,504
C48,Rudolf-Breitscheid-Straße,"48",shop,beauty,504
D1,Fürstenwalder Straße,"1",amenity,restaurant,706
D2,Fürstenwalder Straße,"2",shop,coffee,502
D32,Fürstenwalder Straße,"32",amenity,playground,720
H12b,Ernst-Thälmann-Straße,"12b",healthcare,psychotherapist,601
H12b,Ernst-Thälmann-Straße,"12b",healthcare:speciality,gynaecology,601
H12b,Ernst-Thälmann-Straße,"12b",healthcare,psychotherapist,601
H12b,Ernst-Thälmann-Straße,"12b",healthcare,psychotherapist,601
H12b,Ernst-Thälmann-Straße,"12b",healthcare,psychotherapist,601
H14,Ernst-Thälmann-Straße,"14",shop,bathroom_furnishing,502
H22,Ernst-Thälmann-Straße,"22",shop,photo,504
H22,Ernst-Thälmann-Straße,"22",shop,photo,504
H30,Ernst-Thälmann-Straße,"30",shop,beauty,504
