"ID","strasse","hn","key","value","MiD"
A10,Lychener Straße,"10",shop,hairdresser,504
A10,Lychener Straße,"10",shop,beauty,504
A10,Lychener Straße,"10",shop,hairdresser,504
A10,Lychener Straße,"10",shop,beauty,504
A11,Lychener Straße,"11",shop,shoes,502
A11,Lychener Straße,"11",amenity,bar,706
A11,Lychener Straße,"11",shop,antiques,502
A12,Lychener Straße,"12",amenity,training,705
A12,Lychener Straße,"12",amenity,training,705
A13,Lychener Straße,"13",healthcare,alternative,601
A13,Lychener Straße,"13",amenity,restaurant,706
A13,Lychener Straße,"13",amenity,restaurant,706
A14,Lychener Straße,"14",shop,hairdresser,504
A14,Lychener Straße,"14",shop,hairdresser,504
A15,Lychener Straße,"15",amenity,bar,706
A16,Lychener Straße,"16",shop,clothes,502
A18,Lychener Straße,"18",shop,hairdresser,504
A18,Lychener Straße,"18",amenity,restaurant,706
A18,Lychener Straße,"18",shop,hairdresser,504
A2,Lychener Straße,"2",office,estate_agent,504
A2,Lychener Straße,"2",office,estate_agent,504
A2,Lychener Straße,"2",amenity,restaurant,706
A20,Lychener Straße,"20",office,insurance,504
A20,Lychener Straße,"20",office,insurance,504
A20,Lychener Straße,"20",shop,beauty,504
A20,Lychener Straße,"20",shop,beauty,504
A21,Lychener Straße,"21",amenity,kindergarten,1200
A22,Lychener Straße,"22",healthcare:speciality,cardiology,601
A23,Lychener Straße,"23",shop,hairdresser,504
A23,Lychener Straße,"23",tourism,gallery,702
A23,Lychener Straße,"23",shop,hairdresser,504
A24,Lychener Straße,"24",amenity,restaurant,706
A24,Lychener Straße,"24",amenity,restaurant,706
A26,Lychener Straße,"26",amenity,restaurant,706
A28,Lychener Straße,"28",amenity,restaurant,706
A28,Lychener Straße,"28",shop,jewelry,502
A3,Lychener Straße,"3",amenity,bar,706
A30,Lychener Straße,"30",amenity,restaurant,706
A33,Lychener Straße,"33",shop,kiosk,501
A33,Lychener Straße,"33",amenity,atm,602
A33,Lychener Straße,"33",healthcare,psychotherapist,601
A35,Lychener Straße,"35",amenity,restaurant,706
A37,Lychener Straße,"37",amenity,restaurant,706
A39,Lychener Straße,"39",shop,bicycle,502
A39,Lychener Straße,"39",amenity,bar,706
A4,Lychener Straße,"4",amenity,cafe,706
A41,Lychener Straße,"41",amenity,restaurant,706
A41,Lychener Straße,"41",amenity,restaurant,706
A43,Lychener Straße,"43",shop,hairdresser,504
A43,Lychener Straße,"43",shop,hairdresser,504
A45,Lychener Straße,"45",shop,furniture,502
A45,Lychener Straße,"45",healthcare,psychotherapist,601
A46,Lychener Straße,"46",amenity,restaurant,706
A46,Lychener Straße,"46",shop,beauty,504
A46,Lychener Straße,"46",shop,beauty,504
A47,Lychener Straße,"47",sport,yoga,704
A47,Lychener Straße,"47",sport,swimming,704
A47,Lychener Straße,"47",sport,swimming,704
A47,Lychener Straße,"47",shop,supermarket,501
A47,Lychener Straße,"47",sport,yoga,704
A5,Lychener Straße,"5",shop,musical_instrument,502
A51,Lychener Straße,"51",shop,pottery,502
A51,Lychener Straße,"51",healthcare,psychotherapist,601
A51,Lychener Straße,"51",tourism,gallery,702
A52,Lychener Straße,"52",shop,clothes,502
A52,Lychener Straße,"52",amenity,language_school,705
A52,Lychener Straße,"52",shop,beauty,504
A52,Lychener Straße,"52",shop,beauty,504
A52,Lychener Straße,"52",amenity,language_school,705
A53,Lychener Straße,"53",shop,kiosk,501
A53,Lychener Straße,"53",shop,massage,504
A53,Lychener Straße,"53",shop,massage,504
A53,Lychener Straße,"53",amenity,atm,602
A56,Lychener Straße,"56",healthcare,general,601
A59,Lychener Straße,"59",amenity,kindergarten,1200
A59,Lychener Straße,"59",office,lawyer,504
A59,Lychener Straße,"59",office,lawyer,504
A6,Lychener Straße,"6",shop,kiosk,501
A6,Lychener Straße,"6",amenity,restaurant,706
A6,Lychener Straße,"6",amenity,restaurant,706
A60,Lychener Straße,"60",amenity,parcel_locker,602
A63,Lychener Straße,"63",amenity,cafe,706
A64,Lychener Straße,"64",amenity,cafe,706
A64,Lychener Straße,"64",amenity,parcel_locker,602
A65,Lychener Straße,"65",amenity,kindergarten,1200
A66,Lychener Straße,"66",amenity,kindergarten,1200
A68,Lychener Straße,"68",amenity,animal_boarding,504
A68,Lychener Straße,"68",amenity,animal_boarding,504
A7,Lychener Straße,"7",healthcare,physiotherapist,601
A7,Lychener Straße,"7",office,insurance,504
A7,Lychener Straße,"7",office,insurance,504
A8,Lychener Straße,"8",shop,clothes,502
A9,Lychener Straße,"9",amenity,restaurant,706
B1,Schliemannstraße,"1",amenity,restaurant,706
B10,Schliemannstraße,"10",healthcare,general,601
B13,Schliemannstraße,"13",healthcare,psychotherapist,601
B13,Schliemannstraße,"13",healthcare:speciality,internal,601
B14,Schliemannstraße,"14",shop,deli,502
B14a,Schliemannstraße,"14a",shop,clothes,502
B15,Schliemannstraße,"15",amenity,restaurant,706
B16,Schliemannstraße,"16",amenity,restaurant,706
B16,Schliemannstraße,"16",tourism,gallery,702
B17,Schliemannstraße,"17",healthcare,psychotherapist,601
B17,Schliemannstraße,"17",amenity,training,705
B17,Schliemannstraße,"17",healthcare,psychotherapist,601
B17,Schliemannstraße,"17",amenity,training,705
B17,Schliemannstraße,"17",healthcare,psychotherapist,601
B19,Schliemannstraße,"19",amenity,restaurant,706
B2,Schliemannstraße,"2",amenity,pub,706
B20,Schliemannstraße,"20",shop,antiques,502
B21,Schliemannstraße,"21",shop,pottery,502
B22,Schliemannstraße,"22",sport,yoga,704
B22,Schliemannstraße,"22",sport,yoga,704
B23,Schliemannstraße,"23",office,lawyer,504
B23,Schliemannstraße,"23",office,lawyer,504
B23,Schliemannstraße,"23",office,lawyer,504
B23,Schliemannstraße,"23",office,lawyer,504
B23a,Schliemannstraße,"23a",shop,beauty,504
B23a,Schliemannstraße,"23a",amenity,dancing_school,704
B23a,Schliemannstraße,"23a",shop,beauty,504
B23a,Schliemannstraße,"23a",amenity,dancing_school,704
B25a,Schliemannstraße,"25a",shop,gift,502
B25a,Schliemannstraße,"25a",sport,yoga,704
B25a,Schliemannstraße,"25a",shop,gift,502
B25a,Schliemannstraße,"25a",sport,yoga,704
B26,Schliemannstraße,"26",shop,gift,502
B26,Schliemannstraße,"26",shop,gift,502
B28,Schliemannstraße,"28",amenity,training,705
B28,Schliemannstraße,"28",amenity,training,705
B29,Schliemannstraße,"29",shop,photo,504
B29,Schliemannstraße,"29",shop,photo,504
B30,Schliemannstraße,"30",shop,gift,502
B31,Schliemannstraße,"31",amenity,restaurant,706
B32,Schliemannstraße,"32",healthcare,physiotherapist,601
B33,Schliemannstraße,"33",shop,clothes,502
B33,Schliemannstraße,"33",healthcare,alternative,601
B33,Schliemannstraße,"33",healthcare,psychotherapist,601
B33,Schliemannstraße,"33",shop,jewelry,502
B33,Schliemannstraße,"33",healthcare,alternative,601
B34,Schliemannstraße,"34",sport,pilates,704
B34,Schliemannstraße,"34",sport,pilates,704
B34,Schliemannstraße,"34",healthcare,alternative,601
B34,Schliemannstraße,"34",healthcare:speciality,occupational,601
B35,Schliemannstraße,"35",shop,deli,502
B37,Schliemannstraße,"37",healthcare:speciality,occupational,601
B40,Schliemannstraße,"40",shop,jewelry,502
B41,Schliemannstraße,"41",healthcare,alternative,601
B41,Schliemannstraße,"41",healthcare,alternative,601
B41,Schliemannstraße,"41",healthcare,alternative,601
B41,Schliemannstraße,"41",healthcare,alternative,601
B41,Schliemannstraße,"41",healthcare,alternative,601
B41,Schliemannstraße,"41",sport,yoga,704
B41,Schliemannstraße,"41",healthcare,psychotherapist,601
B41,Schliemannstraße,"41",sport,yoga,704
B43,Schliemannstraße,"43",shop,beauty,504
B43,Schliemannstraße,"43",leisure,park,720
B43,Schliemannstraße,"43",leisure,playground,720
B43,Schliemannstraße,"43",shop,beauty,504
B45,Schliemannstraße,"45",office,tax_advisor,504
B45,Schliemannstraße,"45",healthcare,psychotherapist,601
B45,Schliemannstraße,"45",healthcare,psychotherapist,601
B45,Schliemannstraße,"45",healthcare,speech_therapist,601
B45,Schliemannstraße,"45",office,tax_advisor,504
B47,Schliemannstraße,"47",amenity,ice_cream,706
B47,Schliemannstraße,"47",healthcare,psychotherapist,601
B48,Schliemannstraße,"48",shop,supermarket,501
B49,Schliemannstraße,"49",amenity,kindergarten,1200
B49,Schliemannstraße,"49",office,lawyer,504
B49,Schliemannstraße,"49",office,lawyer,504
B5,Schliemannstraße,"5",shop,bicycle,502
B5,Schliemannstraße,"5",tourism,gallery,702
B5,Schliemannstraße,"5",amenity,cinema,702
B5,Schliemannstraße,"5",shop,jewelry,502
B5,Schliemannstraße,"5",shop,motorcycle,
C10,Dunckerstraße,"10",amenity,bar,706
C10,Dunckerstraße,"10",healthcare,counselling,601
C11,Dunckerstraße,"11",amenity,dentist,601
C11,Dunckerstraße,"11",shop,clothes,502
C11,Dunckerstraße,"11",shop,boutique,502
C12,Dunckerstraße,"12",amenity,cafe,706
C14,Dunckerstraße,"14",amenity,social_facility,714
C14,Dunckerstraße,"14",amenity,social_facility,714
C14,Dunckerstraße,"14",shop,charity,502
C15,Dunckerstraße,"15",shop,furniture,502
C16,Dunckerstraße,"16",shop,pet,502
C16,Dunckerstraße,"16",amenity,social_facility,714
C16,Dunckerstraße,"16",amenity,social_facility,714
C17,Dunckerstraße,"17",healthcare:speciality,general,601
C18,Dunckerstraße,"18",amenity,restaurant,706
C19,Dunckerstraße,"19",office,tax_advisor,504
C19,Dunckerstraße,"19",shop,ice_cream,706
C19,Dunckerstraße,"19",office,tax_advisor,504
C1a,Dunckerstraße,"1a",office,insurance,504
C1a,Dunckerstraße,"1a",office,insurance,504
